[rosmaster.main][INFO] 2026-07-09 04:03:41,820: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-09 04:03:41,820: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-09 04:03:41,821: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-07-09 04:03:41,821: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-07-09 04:03:41,821: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-09 04:03:41,822: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-07-09 04:03:41,927: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:41,929: +PARAM [/roslaunch/uris/host_localhost__46151] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:41,969: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:41,969: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:41,977: +SERVICE [/rosout/get_loggers] /rosout http://localhost:37529/
[rosmaster.master][INFO] 2026-07-09 04:03:41,978: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:37529/
[rosmaster.master][INFO] 2026-07-09 04:03:41,979: +PUB [/rosout_agg] /rosout http://localhost:37529/
[rosmaster.master][INFO] 2026-07-09 04:03:41,982: +SUB [/rosout] /rosout http://localhost:37529/
[rosmaster.master][INFO] 2026-07-09 04:03:45,985: +PARAM [/roslaunch/uris/host_localhost__39971] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/conn/heartbeat_mav_type] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,994: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,995: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,995: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 04:03:45,995: +PARAM [/mavros/time/timesync_mode] by /roslaunch
