[rosmaster.main][INFO] 2026-07-09 03:57:23,845: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-09 03:57:23,845: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-09 03:57:23,847: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-07-09 03:57:23,847: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-07-09 03:57:23,847: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-09 03:57:23,847: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-07-09 03:57:23,941: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:23,942: +PARAM [/roslaunch/uris/host_localhost__40219] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:23,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:23,978: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:24,033: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36727/
[rosmaster.master][INFO] 2026-07-09 03:57:24,033: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36727/
[rosmaster.master][INFO] 2026-07-09 03:57:24,035: +PUB [/rosout_agg] /rosout http://localhost:36727/
[rosmaster.master][INFO] 2026-07-09 03:57:24,038: +SUB [/rosout] /rosout http://localhost:36727/
[rosmaster.master][INFO] 2026-07-09 03:57:28,227: +PARAM [/roslaunch/uris/host_localhost__36603] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,237: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,237: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,237: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,238: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,238: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,238: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,238: +PARAM [/mavros/conn/heartbeat_mav_type] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 03:57:28,238: +PARAM [/mavros/conn/timeout] by /roslaunch
