[rosmaster.main][INFO] 2026-06-24 04:11:01,106: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-06-24 04:11:01,106: Starting ROS Master Node
[xmlrpc][INFO] 2026-06-24 04:11:01,107: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-06-24 04:11:01,108: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-06-24 04:11:01,108: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-06-24 04:11:01,108: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-06-24 04:11:01,176: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:01,177: +PARAM [/roslaunch/uris/host_localhost__43893] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:01,206: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:01,206: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:01,256: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36767/
[rosmaster.master][INFO] 2026-06-24 04:11:01,257: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36767/
[rosmaster.master][INFO] 2026-06-24 04:11:01,257: +PUB [/rosout_agg] /rosout http://localhost:36767/
[rosmaster.master][INFO] 2026-06-24 04:11:01,259: +SUB [/rosout] /rosout http://localhost:36767/
[rosmaster.master][INFO] 2026-06-24 04:11:05,584: +PARAM [/roslaunch/uris/host_localhost__33715] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:05,588: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:05,588: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:05,588: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:05,588: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-06-24 04:11:05,588: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
