Time_s,Vz(m/s),Power(W),TargetVz(m/s),TargetAlt(m)
0,1.092,352.436,0,12
1,1.0876,380.6185,0,12
2,2.0867,413.4577,0,12
3,2.5126,378.2016,0,12
4,2.0134,353.5311,0,12
5,1.4489,348.748,0,12
6,0.9231,343.0841,0,12
7,0.389777777777778,334.954222222222,0,12
8,-0.0472,346.8474,0,12
9,0.0068,356.9676,0,12
10,0.0303,353.7451,0,12
11,0.0219,353.443,0,12
12,0.0177,353.443,0,12
16,0.2217,379.0451,0.5,22
17,1.2338,404.886,0.5,22
18,2.2035,408.3349,0.5,22
19,2.3744,365.451,0.5,22
20,1.7647,350.1953,0.5,22
21,1.223,346.7341,0.5,22
22,0.6561,339.0182,0.5,22
23,0.0801,336.9919,0.5,22
24,-0.0503333333333333,356.534,0.5,22
25,0.0213,354.2864,0.5,22
26,0.015,353.443,0.5,22
27,0.0117,353.443,0.5,22
28,0.014,353.443,0.5,22
31,0.152444444444444,374.016,1,32
32,1.1306,403.5013,1,32
33,2.1266,408.8762,1,32
34,2.4417,366.3951,1,32
35,1.7975,350.4974,1,32
36,1.2676,347.4388,1,32
37,0.7407,340.3399,1,32
38,0.1418,335.3429,1,32
39,-0.0509,355.4319,1,32
40,0.0184444444444444,354.701777777778,1,32
41,0.0157,353.443,1,32
42,0.0122,353.7451,1,32
43,0.013,353.443,1,32
46,0.117625,370.671625,1.5,42
47,0.9787,402.2554,1.5,42
48,1.9934,410.0219,1.5,42
49,2.4317,373.0033,1.5,42
50,1.8768,351.731,1.5,42
51,1.3306,348.32,1.5,42
52,0.7989,340.8812,1.5,42
53,0.2013,334.0968,1.5,42
54,-0.0597,354.3621,1.5,42
55,0.0171,354.9158,1.5,42
56,0.0165,353.443,1.5,42
57,0.0131,353.443,1.5,42
58,0.014,353.443,1.5,42
61,0.0955714285714286,368.529285714286,2,52
62,0.9095,401.412,2,52
63,1.9326,410.1224,2,52
64,2.4548,379.687,2,52
65,1.9469,352.4737,2,52
66,1.3908,348.3954,2,52
67,0.832,341.2211,2,52
68,0.237,333.694,2,52
69,-0.0648,353.4306,2,52
70,0.013,355.1172,2,52
71,0.0155,353.443,2,52
72,0.0105,353.443,2,52
73,0.0123333333333333,353.778666666667,2,52
76,0.067,364.603333333333,2.5,62
77,0.8062,400.3672,2.5,62
78,1.8409,409.0776,2.5,62
79,2.469,384.9858,2.5,62
80,2.0058,352.8136,2.5,62
81,1.4361,348.622,2.5,62
82,0.9093,342.6687,2.5,62
83,0.3099,334.0716,2.5,62
84,-0.066,351.4543,2.5,62
85,0.0081,355.6459,2.5,62
86,0.0155,353.443,2.5,62
87,0.011,353.443,2.5,62
88,0.012,353.443,2.5,62
91,0.0455,365.4635,3,72
92,0.7467,399.6373,3,72
93,1.74988888888889,408.658,3,72
94,2.4337,391.2921,3,72
95,2.0697,353.4178,3,72
96,1.4884,349.3645,3,72
97,0.9664,343.7135,3,72
98,0.3946,334.6381,3,72
99,-0.055,347.3885,3,72
100,-0.001,356.162,3,72
101,0.0172,353.443,3,72
102,0.011,353.443,3,72
103,0.012,353.443,3,72
106,0.0278,361.5994,3.5,82
107,0.6708,398.5044,3.5,82
108,1.7199,408.3351,3.5,82
109,2.45288888888889,393.148,3.5,82
110,2.1453,354.9786,3.5,82
111,1.5223,349.5659,3.5,82
112,0.9988,344.0153,3.5,82
113,0.4367,335.242,3.5,82
114,-0.0439,345.7777,3.5,82
115,-0.0049,356.3634,3.5,82
116,0.0192,353.443,3.5,82
117,0.0116,353.443,3.5,82
118,0.0116666666666667,353.443,3.5,82
121,0.0145,355.52,4,92
122,0.5909,396.5283,4,92
123,1.6452,407.4917,4,92
124,2.4372,394.3004,4,92
125,2.137,354.0344,4,92
126,1.5366,349.1505,4,92
127,1.03033333333333,344.338444444444,4,92
128,0.5095,336.5889,4,92
129,-0.0321,342.8952,4,92
130,-0.0132,356.4641,4,92
131,0.0183,353.7451,4,92
132,0.0107,353.443,4,92
133,0.0118571428571429,353.443,4,92
136,0.0133333333333333,353.443,4.5,102
137,0.454,392.0223,4.5,102
138,1.5391,406.7868,4.5,102
139,2.3973,400.1155,4.5,102
140,2.2026,356.4639,4.5,102
141,1.5994,349.654,4.5,102
142,1.0669,344.3301,4.5,102
143,0.535,337.037888888889,4.5,102
144,0.0196,340.34,4.5,102
145,-0.0259,356.8795,4.5,102
146,0.0194,353.7451,4.5,102
147,0.0101,353.1409,4.5,102
148,0.009625,353.443,4.5,102
151,0.013,353.443,5,112
152,0.3609,385.653,5,112
153,1.4104,405.1629,5,112
154,2.3268,402.5828,5,112
155,2.2491,358.4402,5,112
156,1.645,350.1953,5,112
157,1.1082,344.5315,5,112
158,0.5579,337.231,5,112
159,0.0151111111111111,339.261555555556,5,112
160,-0.0345,356.2753,5,112
161,0.0194,353.8584,5,112
162,0.0127,353.443,5,112
163,0.0117777777777778,353.443,5,112
