Timestamp,Velocity(m/s),Voltage(V),Current(A),Power(W),TargetSpeed(m/s)
2026-07-02 23:22:59,0.149,12.587,32.23,405.679,7
2026-07-02 23:22:59,0.185,12.587,26.42,332.549,7
2026-07-02 23:22:59,0.185,12.587,26.42,332.549,7
2026-07-02 23:22:59,0.177,12.587,32.48,408.826,7
2026-07-02 23:22:59,0.177,12.587,32.48,408.826,7
2026-07-02 23:23:01,0.177,12.587,32.48,408.826,7
2026-07-02 23:23:01,0.175,12.587,26.5,333.556,7
2026-07-02 23:23:01,0.175,12.587,26.5,333.556,7
2026-07-02 23:23:02,0.69,12.587,27.83,350.296,7
2026-07-02 23:23:02,0.69,12.587,27.83,350.296,7
2026-07-02 23:23:02,0.69,12.587,27.83,350.296,7
2026-07-02 23:23:02,1.443,12.587,34.64,436.014,7
2026-07-02 23:23:02,1.443,12.587,34.64,436.014,7
2026-07-02 23:23:02,2.311,12.587,28.49,358.604,7
2026-07-02 23:23:02,2.311,12.587,28.49,358.604,7
2026-07-02 23:23:02,2.311,12.587,28.49,358.604,7
2026-07-02 23:23:02,3.223,12.587,32.65,410.966,7
2026-07-02 23:23:02,3.223,12.587,32.65,410.966,7
2026-07-02 23:23:03,4.054,12.587,28.83,362.883,7
2026-07-02 23:23:03,4.054,12.587,28.83,362.883,7
2026-07-02 23:23:03,4.054,12.587,28.83,362.883,7
2026-07-02 23:23:03,4.78,12.587,28.74,361.75,7
2026-07-02 23:23:03,4.78,12.587,28.74,361.75,7
2026-07-02 23:23:03,5.43,12.587,26.33,331.416,7
2026-07-02 23:23:03,5.43,12.587,26.33,331.416,7
2026-07-02 23:23:03,5.43,12.587,26.33,331.416,7
2026-07-02 23:23:03,5.978,12.587,29.16,367.037,7
2026-07-02 23:23:03,5.978,12.587,29.16,367.037,7
2026-07-02 23:23:04,6.395,12.587,28.58,359.736,7
2026-07-02 23:23:04,6.395,12.587,28.58,359.736,7
2026-07-02 23:23:04,6.395,12.587,28.58,359.736,7
2026-07-02 23:23:04,6.68,12.587,30.41,382.771,7
2026-07-02 23:23:04,6.68,12.587,30.41,382.771,7
2026-07-02 23:23:04,6.859,12.587,26.75,336.702,7
2026-07-02 23:23:04,6.859,12.587,26.75,336.702,7
2026-07-02 23:23:04,6.859,12.587,26.75,336.702,7
2026-07-02 23:23:04,6.935,12.587,26.42,332.549,7
2026-07-02 23:23:04,6.935,12.587,26.42,332.549,7
2026-07-02 23:23:05,6.95,12.587,26.08,328.269,7
2026-07-02 23:23:05,6.95,12.587,26.08,328.269,7
2026-07-02 23:23:05,6.933,12.587,25.42,319.962,7
2026-07-02 23:23:05,6.933,12.587,25.42,319.962,7
2026-07-02 23:23:05,6.933,12.587,25.42,319.962,7
2026-07-02 23:23:05,6.884,12.587,29.82,375.344,7
2026-07-02 23:23:05,6.884,12.587,29.82,375.344,7
2026-07-02 23:23:05,6.884,12.587,29.82,375.344,7
2026-07-02 23:23:05,6.819,12.587,25.09,315.808,7
2026-07-02 23:23:05,6.819,12.587,25.09,315.808,7
2026-07-02 23:23:06,6.766,12.587,29.16,367.037,7
2026-07-02 23:23:06,6.766,12.587,29.16,367.037,7
2026-07-02 23:23:06,6.739,12.587,25.42,319.962,7
2026-07-02 23:23:06,6.739,12.587,25.42,319.962,7
2026-07-02 23:23:06,6.739,12.587,25.42,319.962,7
2026-07-02 23:23:06,6.747,12.587,34.06,428.713,7
2026-07-02 23:23:06,6.747,12.587,34.06,428.713,7
2026-07-02 23:23:06,6.781,12.587,25.84,325.248,7
2026-07-02 23:23:06,6.781,12.587,25.84,325.248,7
2026-07-02 23:23:06,6.781,12.587,25.84,325.248,7
2026-07-02 23:23:07,6.83,12.587,33.73,424.56,7
2026-07-02 23:23:07,6.83,12.587,33.73,424.56,7
2026-07-02 23:23:07,6.877,12.587,25.92,326.255,7
2026-07-02 23:23:07,6.877,12.587,25.92,326.255,7
2026-07-02 23:23:07,6.877,12.587,25.92,326.255,7
2026-07-02 23:23:07,6.92,12.587,29.24,368.044,7
2026-07-02 23:23:07,6.92,12.587,29.24,368.044,7
2026-07-02 23:23:07,6.957,12.587,27.58,347.149,7
2026-07-02 23:23:07,6.957,12.587,27.58,347.149,7
2026-07-02 23:23:07,6.957,12.587,27.58,347.149,7
2026-07-02 23:23:08,6.98,12.587,26.17,329.402,7
2026-07-02 23:23:08,6.98,12.587,26.17,329.402,7
2026-07-02 23:23:08,6.999,12.587,33.56,422.42,7
2026-07-02 23:23:08,6.999,12.587,33.56,422.42,7
2026-07-02 23:23:08,6.999,12.587,33.56,422.42,7
2026-07-02 23:23:08,7.008,12.587,25.75,324.115,7
2026-07-02 23:23:08,7.008,12.587,25.75,324.115,7
2026-07-02 23:23:08,7.016,12.587,28.99,364.897,7
2026-07-02 23:23:08,7.016,12.587,28.99,364.897,7
2026-07-02 23:23:08,7.016,12.587,28.99,364.897,7
2026-07-02 23:23:09,7.018,12.587,25.67,323.108,7
2026-07-02 23:23:09,7.018,12.587,25.67,323.108,7
2026-07-02 23:23:09,7.012,12.587,26.5,333.556,7
2026-07-02 23:23:09,7.012,12.587,26.5,333.556,7
2026-07-02 23:23:09,7.012,12.587,26.5,333.556,7
2026-07-02 23:23:09,7.003,12.587,25.59,322.101,7
2026-07-02 23:23:09,7.003,12.587,25.59,322.101,7
2026-07-02 23:23:09,6.992,12.587,25.84,325.248,7
2026-07-02 23:23:09,6.992,12.587,25.84,325.248,7
2026-07-02 23:23:09,6.992,12.587,25.84,325.248,7
2026-07-02 23:23:10,6.982,12.587,25.84,325.248,7
2026-07-02 23:23:10,6.982,12.587,25.84,325.248,7
2026-07-02 23:23:10,6.972,12.587,25.75,324.115,7
2026-07-02 23:23:10,6.972,12.587,25.75,324.115,7
2026-07-02 23:23:10,6.972,12.587,25.75,324.115,7
2026-07-02 23:23:10,6.967,12.587,31.65,398.379,7
2026-07-02 23:23:10,6.967,12.587,31.65,398.379,7
2026-07-02 23:23:10,6.965,12.587,25.59,322.101,7
2026-07-02 23:23:10,6.965,12.587,25.59,322.101,7
2026-07-02 23:23:10,6.965,12.587,25.59,322.101,7
2026-07-02 23:23:11,6.969,12.587,33.4,420.406,7
2026-07-02 23:23:11,6.969,12.587,33.4,420.406,7
2026-07-02 23:23:11,6.97,12.587,25.67,323.108,7
2026-07-02 23:23:11,6.97,12.587,25.67,323.108,7
2026-07-02 23:23:11,6.97,12.587,25.67,323.108,7
2026-07-02 23:23:11,6.972,12.587,31.9,401.525,7
2026-07-02 23:23:11,6.972,12.587,31.9,401.525,7
2026-07-02 23:23:11,6.976,12.587,26.67,335.695,7
2026-07-02 23:23:11,6.976,12.587,26.67,335.695,7
2026-07-02 23:23:11,6.976,12.587,26.67,335.695,7
2026-07-02 23:23:12,6.976,12.587,26.33,331.416,7
2026-07-02 23:23:12,6.976,12.587,26.33,331.416,7
2026-07-02 23:23:12,6.975,12.587,30.82,387.931,7
2026-07-02 23:23:12,6.975,12.587,30.82,387.931,7
2026-07-02 23:23:12,6.975,12.587,30.82,387.931,7
2026-07-02 23:23:12,6.972,12.587,25.84,325.248,7
2026-07-02 23:23:12,6.972,12.587,25.84,325.248,7
2026-07-02 23:23:12,6.97,12.587,31.32,394.225,7
2026-07-02 23:23:12,6.97,12.587,31.32,394.225,7
2026-07-02 23:23:12,6.97,12.587,31.32,394.225,7
2026-07-02 23:23:13,6.97,12.587,25.67,323.108,7
2026-07-02 23:23:13,6.97,12.587,25.67,323.108,7
2026-07-02 23:23:13,6.968,12.587,30.57,384.785,7
2026-07-02 23:23:13,6.968,12.587,30.57,384.785,7
2026-07-02 23:23:13,6.968,12.587,30.57,384.785,7
2026-07-02 23:23:13,6.964,12.587,25.67,323.108,7
2026-07-02 23:23:13,6.964,12.587,25.67,323.108,7
2026-07-02 23:23:13,6.964,12.587,25.92,326.255,7
2026-07-02 23:23:13,6.964,12.587,25.92,326.255,7
2026-07-02 23:23:13,6.964,12.587,25.92,326.255,7
2026-07-02 23:23:14,6.969,12.587,25.59,322.101,7
2026-07-02 23:23:14,6.969,12.587,25.59,322.101,7
2026-07-02 23:23:14,6.971,12.587,25.84,325.248,7
2026-07-02 23:23:14,6.971,12.587,25.84,325.248,7
2026-07-02 23:23:14,6.971,12.587,25.84,325.248,7
2026-07-02 23:23:14,6.976,12.587,29.57,372.198,7
2026-07-02 23:23:14,6.976,12.587,29.57,372.198,7
2026-07-02 23:23:14,6.978,12.587,25.67,323.108,7
2026-07-02 23:23:14,6.978,12.587,25.67,323.108,7
2026-07-02 23:23:14,6.978,12.587,25.67,323.108,7
2026-07-02 23:23:15,6.983,12.587,33.48,421.413,7
2026-07-02 23:23:15,6.983,12.587,33.48,421.413,7
2026-07-02 23:23:15,6.985,12.587,25.67,323.108,7
