Timestamp,Vz(m/s),Voltage(V),Current(A),Power(W),TargetVz(m/s),CurrentAlt(m)
2026-06-21 00:56:18,0.4589,12.587,28.061,353.2036,0.5,1.961
2026-06-21 00:56:19,0.4908,12.587,28.552,359.3839,0.5,2.447
2026-06-21 00:56:20,0.4964,12.587,28.41,357.597,0.5,2.955
2026-06-21 00:56:21,0.4908,12.587,28.41,357.597,0.5,3.462
2026-06-21 00:56:22,0.4891,12.587,28.45,358.1005,0.5,3.963
2026-06-21 00:56:23,0.4897,12.587,28.45,358.1005,0.5,4.458
2026-06-21 00:56:24,0.4904,12.587,28.41,357.597,0.5,4.957
2026-06-21 00:56:25,0.4912,12.587,28.41,357.597,0.5,5.457
2026-06-21 00:56:26,0.492,12.587,28.41,357.597,0.5,5.87857142857143
2026-06-21 00:56:27,0.492,12.587,28.41,357.597,0.5,6.06
2026-06-21 00:56:28,0.4927,12.587,28.426,357.7984,0.5,6.37
2026-06-21 00:56:29,0.4951,12.587,28.434,357.8991,0.5,6.877
2026-06-21 00:56:30,0.4957,12.587,28.45,358.1005,0.5,7.377
2026-06-21 00:56:31,0.4947,12.587,28.434,357.8991,0.5,7.877
2026-06-21 00:56:32,0.4947,12.587,28.466,358.3019,0.5,8.383
2026-06-21 00:56:33,0.4935,12.587,28.41,357.597,0.5,8.883
2026-06-21 00:56:34,0.494,12.587,28.45,358.1005,0.5,9.38
2026-06-21 00:56:35,0.494,12.587,28.4671428571429,358.316285714286,0.5,9.80285714285714
2026-06-21 00:56:40,1.0284,12.587,28.821,362.7697,1,12.906
2026-06-21 00:56:41,0.9795,12.587,28.769,362.1151,1,13.922
2026-06-21 00:56:42,0.9794,12.587,28.83,362.883,1,14.92
2026-06-21 00:56:43,0.9823,12.587,28.83,362.883,1,15.92
2026-06-21 00:56:44,0.982,12.587,28.83,362.883,1,16.97
2026-06-21 00:56:45,0.980666666666667,12.587,28.83,362.883,1,17.9088888888889
2026-06-21 00:56:46,0.9793,12.587,28.83,362.883,1,18.87
2026-06-21 00:56:47,0.98,12.587,28.83,362.883,1,19.52
2026-06-21 00:56:51,1.4394,12.587,30.563,384.6965,1.5,24.071
2026-06-21 00:56:52,1.5413,12.587,28.934,364.1921,1.5,25.62
2026-06-21 00:56:53,1.4401,12.587,29.127,366.6216,1.5,27.136
2026-06-21 00:56:54,1.4532,12.587,29.33,369.177,1.5,28.608
2026-06-21 00:56:55,1.4665,12.587,29.303,368.8371,1.5,30.1
2026-06-21 00:57:00,1.991,12.587,30.604,385.2126,2,37.516
2026-06-21 00:57:01,2.0185,12.587,29.785,374.9035,2,38.485
2026-06-21 00:57:02,1.9792,12.587,29.642,373.1036,2,39.856
2026-06-21 00:57:03,1.95977777777778,12.587,29.74,374.337,2,41.76
2026-06-21 00:57:04,1.961,12.587,29.78,374.8405,2,43.01
2026-06-21 00:57:08,2.3599,12.587,31.676,398.7058,2.5,51.821
2026-06-21 00:57:09,2.4815,12.587,30.2,380.1275,2.5,54.332
2026-06-21 00:57:10,2.449,12.587,30.2577777777778,380.854777777778,2.5,56.6866666666667
2026-06-21 00:57:13,2.463,12.587,30.24,380.631,3,65.69
2026-06-21 00:57:14,2.6228,12.587,32.119,404.2818,3,66.847
2026-06-21 00:57:15,2.9931,12.587,31.136,391.9086,3,69.744
2026-06-21 00:57:16,2.954,12.587,30.7844444444444,387.483444444444,3,72.7588888888889
2026-06-21 00:57:19,2.942,12.587,30.82,387.931,3.5,83.42
2026-06-21 00:57:20,3.109,12.587,32.298,406.5351,3.5,84.954
2026-06-21 00:57:21,3.4754,12.587,31.692,398.9073,3.5,88.37
2026-06-21 00:57:22,3.44425,12.587,31.38,394.98025,3.5,90.8
2026-06-21 00:57:25,3.43066666666667,12.587,31.515,396.6795,4,103.096666666667
2026-06-21 00:57:26,3.9097,12.587,33.512,421.8157,4,106.066
2026-06-21 00:57:27,3.96922222222222,12.587,32.1411111111111,404.560111111111,4,109.875555555556
2026-06-21 00:57:30,3.931,12.587,32.23,405.679,4.5,124.12
2026-06-21 00:57:31,4.0811,12.587,33.462,421.1861,4.5,126.136
2026-06-21 00:57:32,4.4623,12.587,33.117,416.8436,4.5,130.551
2026-06-21 00:57:33,4.439,12.587,32.73,411.973,4.5,132.83
2026-06-21 00:57:37,4.41314285714286,12.587,34.1342857142857,429.648285714286,5,148.395714285714
2026-06-21 00:57:38,4.8855,12.587,34.958,440.016,5,152.364
