Timestamp,Vz(m/s),Voltage(V),Current(A),Power(W),TargetVz(m/s),CurrentAlt(m)
2026-06-24 16:26:29,0.5053,12.587,27.871,350.8122,0.5,159.287
2026-06-24 16:26:30,0.469888888888889,12.587,27.8122222222222,350.072222222222,0.5,158.802222222222
2026-06-24 16:26:31,0.4696,12.587,27.774,349.5911,0.5,158.315
2026-06-24 16:26:32,0.4713,12.587,27.75,349.289,0.5,157.805
2026-06-24 16:26:33,0.4714,12.587,27.766,349.4904,0.5,157.306
2026-06-24 16:26:34,0.472,12.587,27.782,349.6918,0.5,156.807
2026-06-24 16:26:35,0.4726,12.587,27.758,349.3897,0.5,156.307
2026-06-24 16:26:36,0.4736,12.587,27.774,349.5911,0.5,155.807
2026-06-24 16:26:37,0.4745,12.587,27.75,349.289,0.5,155.495
2026-06-24 16:26:38,0.475625,12.587,27.75,349.289,0.5,155.26375
2026-06-24 16:26:39,0.4786,12.587,27.75,349.289,0.5,154.813
2026-06-24 16:26:40,0.4806,12.587,27.75,349.289,0.5,154.313
2026-06-24 16:26:41,0.4813,12.587,27.75,349.289,0.5,153.813
2026-06-24 16:26:42,0.4824,12.587,27.75,349.289,0.5,153.304
2026-06-24 16:26:43,0.4834,12.587,27.75,349.289,0.5,152.805
2026-06-24 16:26:44,0.4848,12.587,27.75,349.289,0.5,152.293
2026-06-24 16:26:45,0.4869,12.587,27.75,349.289,0.5,151.795
2026-06-24 16:26:46,0.4879,12.587,27.75,349.289,0.5,151.297
2026-06-24 16:26:47,0.488,12.587,27.75,349.289,0.5,150.817777777778
2026-06-24 16:26:48,0.4881,12.587,27.75,349.289,0.5,150.345
2026-06-24 16:26:49,0.4893,12.587,27.75,349.289,0.5,149.847
2026-06-24 16:26:50,0.49,12.587,27.75,349.289,0.5,149.347
2026-06-24 16:26:51,0.49,12.587,27.75,349.289,0.5,148.847
2026-06-24 16:26:52,0.49,12.587,27.75,349.289,0.5,148.347
2026-06-24 16:26:53,0.49,12.587,27.75,349.289,0.5,148.07
2026-06-24 16:26:57,0.9737,12.587,26.449,332.9136,1,145.584
2026-06-24 16:26:58,0.9944,12.587,27.515,346.3315,1,144.511
2026-06-24 16:26:59,0.9758,12.587,27.338,344.1037,1,143.51
2026-06-24 16:27:00,0.9805,12.587,27.33,344.003,1,142.51
2026-06-24 16:27:01,0.9803,12.587,27.402,344.9093,1,141.51
2026-06-24 16:27:02,0.978,12.587,27.41,345.01,1,140.51
2026-06-24 16:27:03,0.9761,12.587,27.41,345.01,1,139.509
2026-06-24 16:27:04,0.976,12.587,27.386,344.7079,1,138.506
2026-06-24 16:27:05,0.9764,12.587,27.362,344.4058,1,137.507
2026-06-24 16:27:06,0.9779,12.587,27.394,344.8086,1,136.51
2026-06-24 16:27:07,0.9779,12.587,27.362,344.4058,1,135.509
2026-06-24 16:27:08,0.9765,12.587,27.3433333333333,344.170833333333,1,134.666666666667
2026-06-24 16:27:13,1.3479,12.587,25.562,321.7487,1.5,130.187
2026-06-24 16:27:14,1.4517,12.587,27.125,341.4225,1.5,128.664
2026-06-24 16:27:15,1.4304,12.587,26.96,339.3455,1.5,127.173
2026-06-24 16:27:16,1.4553,12.587,26.92,338.842,1.5,125.695
2026-06-24 16:27:17,1.4668,12.587,26.96,339.3455,1.5,124.203
2026-06-24 16:27:18,1.4701,12.587,26.976,339.5469,1.5,122.703
2026-06-24 16:27:19,1.4692,12.587,27,339.849,1.5,121.203
2026-06-24 16:27:20,1.4675,12.587,27,339.849,1.5,119.703
2026-06-24 16:27:21,1.4725,12.587,26.92,338.842,1.5,118.207
2026-06-24 16:27:22,1.47742857142857,12.587,26.9428571428571,339.129714285714,1.5,116.937142857143
2026-06-24 16:27:26,1.7438,12.587,24.952,314.071,2,110.634
2026-06-24 16:27:27,2.0055,12.587,26.542,334.0842,2,108.616
2026-06-24 16:27:28,1.9686,12.587,26.556,334.2602,2,106.552
2026-06-24 16:27:29,1.96477777777778,12.587,26.5,333.556,2,104.672222222222
2026-06-24 16:27:30,1.9608,12.587,26.5,333.556,2,102.75
2026-06-24 16:27:31,1.9623,12.587,26.5,333.556,2,100.75
2026-06-24 16:27:32,1.9682,12.587,26.5,333.556,2,98.755
2026-06-24 16:27:33,1.969,12.587,26.5,333.556,2,96.753
2026-06-24 16:27:34,1.9683,12.587,26.5,333.556,2,94.75
2026-06-24 16:27:35,1.9671,12.587,26.5,333.556,2,92.75
2026-06-24 16:27:39,2.0917,12.587,25.121,316.198,2.5,84.743
2026-06-24 16:27:40,2.4989,12.587,25.81,324.8706,2.5,82.361
2026-06-24 16:27:41,2.4543,12.587,26.074,328.1935,2.5,79.71
2026-06-24 16:27:42,2.4539,12.587,25.984,327.0606,2.5,77.223
2026-06-24 16:27:43,2.4626,12.587,25.976,326.9599,2.5,74.727
2026-06-24 16:27:44,2.461,12.587,26,327.262,2.5,73.23
2026-06-24 16:27:45,2.45744444444444,12.587,26.0444444444444,327.821444444444,2.5,72.11
2026-06-24 16:27:46,2.4509,12.587,26.024,327.5641,2.5,69.717
2026-06-24 16:27:47,2.449,12.587,26,327.262,2.5,67.217
2026-06-24 16:27:48,2.4513,12.587,26,327.262,2.5,64.723
2026-06-24 16:27:49,2.458,12.587,26,327.262,2.5,62.233
2026-06-24 16:27:50,2.464,12.587,26,327.262,2.5,60.74
2026-06-24 16:27:53,2.487125,12.587,24.36125,306.635,3,52.0025
2026-06-24 16:27:54,2.9806,12.587,24.762,311.6796,3,49.487
2026-06-24 16:27:55,2.9711,12.587,25.597,322.1892,3,46.374
2026-06-24 16:27:56,2.9473,12.587,25.46,320.4655,3,43.297
2026-06-24 16:27:57,2.9449,12.587,25.5,320.969,3,40.29
2026-06-24 16:27:58,2.9452,12.587,25.436,320.1634,3,37.296
2026-06-24 16:27:59,2.9524,12.587,25.46,320.4655,3,34.3
2026-06-24 16:28:00,2.9519,12.587,25.476,320.6669,3,31.3
2026-06-24 16:28:01,2.9494,12.587,25.484,320.7676,3,28.297
2026-06-24 16:28:02,2.9423,12.587,25.5,320.969,3,25.29
2026-06-24 16:28:03,2.9415,12.587,25.5,320.969,3,23.265
