Timestamp,Velocity(m/s),Voltage(V),Current(A),Power(W),TargetSpeed(m/s)
2026-07-09 18:54:37,0.096,12.587,25.5,320.969,0
2026-07-09 18:54:37,0.129,12.587,30.32,381.638,0
2026-07-09 18:54:37,0.129,12.587,30.32,381.638,0
2026-07-09 18:54:37,0.129,12.587,30.32,381.638,0
2026-07-09 18:54:37,0.148,12.587,28.58,359.736,0
2026-07-09 18:54:37,0.148,12.587,28.58,359.736,0
2026-07-09 18:54:38,0.276,12.587,27.33,344.003,0
2026-07-09 18:54:38,0.276,12.587,27.33,344.003,0
2026-07-09 18:54:38,0.276,12.587,27.33,344.003,0
2026-07-09 18:54:38,0.323,12.587,31.82,400.518,0
2026-07-09 18:54:38,0.323,12.587,31.82,400.518,0
2026-07-09 18:54:38,0.267,12.587,28.25,355.583,0
2026-07-09 18:54:38,0.267,12.587,28.25,355.583,0
2026-07-09 18:54:38,0.267,12.587,28.25,355.583,0
2026-07-09 18:54:38,0.181,12.587,28.08,353.443,0
2026-07-09 18:54:38,0.181,12.587,28.08,353.443,0
2026-07-09 18:54:39,0.114,12.587,28.66,360.743,0
2026-07-09 18:54:39,0.114,12.587,28.66,360.743,0
2026-07-09 18:54:39,0.114,12.587,28.66,360.743,0
2026-07-09 18:54:39,0.16,12.587,27.75,349.289,0
2026-07-09 18:54:39,0.16,12.587,27.75,349.289,0
2026-07-09 18:54:39,0.293,12.587,34.64,436.014,0
2026-07-09 18:54:39,0.293,12.587,34.64,436.014,0
2026-07-09 18:54:39,0.293,12.587,34.64,436.014,0
2026-07-09 18:54:39,0.444,12.587,27.08,340.856,0
2026-07-09 18:54:39,0.444,12.587,27.08,340.856,0
2026-07-09 18:54:40,0.493,12.587,32.15,404.672,0
2026-07-09 18:54:40,0.493,12.587,32.15,404.672,0
2026-07-09 18:54:40,0.406,12.587,27.33,344.003,0
2026-07-09 18:54:40,0.406,12.587,27.33,344.003,0
2026-07-09 18:54:40,0.406,12.587,27.33,344.003,0
2026-07-09 18:54:40,0.176,12.587,30.9,388.938,0
2026-07-09 18:54:40,0.176,12.587,30.9,388.938,0
2026-07-09 18:54:40,0.148,12.587,29.91,376.477,0
2026-07-09 18:54:40,0.148,12.587,29.91,376.477,0
2026-07-09 18:54:40,0.148,12.587,29.91,376.477,0
2026-07-09 18:54:41,0.372,12.587,28.25,355.583,0
2026-07-09 18:54:41,0.372,12.587,28.25,355.583,0
2026-07-09 18:54:41,0.468,12.587,28.16,354.45,0
2026-07-09 18:54:41,0.468,12.587,28.16,354.45,0
2026-07-09 18:54:41,0.468,12.587,28.16,354.45,0
2026-07-09 18:54:41,0.47,12.587,28.08,353.443,0
2026-07-09 18:54:41,0.47,12.587,28.08,353.443,0
2026-07-09 18:54:41,0.41,12.587,27.91,351.303,0
2026-07-09 18:54:41,0.41,12.587,27.91,351.303,0
2026-07-09 18:54:41,0.41,12.587,27.91,351.303,0
2026-07-09 18:54:42,0.31,12.587,29.49,371.191,0
2026-07-09 18:54:42,0.31,12.587,29.49,371.191,0
2026-07-09 18:54:42,0.177,12.587,27.58,347.149,0
2026-07-09 18:54:42,0.177,12.587,27.58,347.149,0
2026-07-09 18:54:42,0.177,12.587,27.58,347.149,0
2026-07-09 18:54:42,0.045,12.587,33.9,426.699,0
2026-07-09 18:54:42,0.045,12.587,33.9,426.699,0
2026-07-09 18:54:42,0.095,12.587,25.5,320.969,0
2026-07-09 18:54:42,0.095,12.587,25.5,320.969,0
2026-07-09 18:54:42,0.095,12.587,25.5,320.969,0
2026-07-09 18:54:43,0.174,12.587,25.17,316.815,0
2026-07-09 18:54:43,0.174,12.587,25.17,316.815,0
2026-07-09 18:54:43,0.228,12.587,27.25,342.996,0
2026-07-09 18:54:43,0.228,12.587,27.25,342.996,0
2026-07-09 18:54:43,0.228,12.587,27.25,342.996,0
2026-07-09 18:54:43,0.23,12.587,31.82,400.518,0
2026-07-09 18:54:43,0.23,12.587,31.82,400.518,0
2026-07-09 18:54:43,0.173,12.587,25.0,314.675,0
2026-07-09 18:54:43,0.173,12.587,25.0,314.675,0
2026-07-09 18:54:43,0.173,12.587,25.0,314.675,0
2026-07-09 18:54:44,0.101,12.587,27.5,346.143,0
2026-07-09 18:54:44,0.101,12.587,27.5,346.143,0
2026-07-09 18:54:44,0.057,12.587,32.07,403.665,0
2026-07-09 18:54:44,0.057,12.587,32.07,403.665,0
2026-07-09 18:54:44,0.057,12.587,32.07,403.665,0
2026-07-09 18:54:44,0.067,12.587,27.25,342.996,0
2026-07-09 18:54:44,0.067,12.587,27.25,342.996,0
2026-07-09 18:54:44,0.09,12.587,33.9,426.699,0
2026-07-09 18:54:44,0.09,12.587,33.9,426.699,0
2026-07-09 18:54:44,0.09,12.587,33.9,426.699,0
2026-07-09 18:54:45,0.106,12.587,26.67,335.695,0
2026-07-09 18:54:45,0.106,12.587,26.67,335.695,0
2026-07-09 18:54:45,0.102,12.587,32.9,414.112,0
2026-07-09 18:54:45,0.102,12.587,32.9,414.112,0
2026-07-09 18:54:45,0.102,12.587,32.9,414.112,0
2026-07-09 18:54:45,0.07,12.587,26.42,332.549,0
2026-07-09 18:54:45,0.07,12.587,26.42,332.549,0
2026-07-09 18:54:45,0.05,12.587,31.4,395.232,0
2026-07-09 18:54:45,0.05,12.587,31.4,395.232,0
2026-07-09 18:54:45,0.05,12.587,31.4,395.232,0
2026-07-09 18:54:46,0.036,12.587,26.42,332.549,0
2026-07-09 18:54:46,0.036,12.587,26.42,332.549,0
2026-07-09 18:54:46,0.029,12.587,27.08,340.856,0
2026-07-09 18:54:46,0.029,12.587,27.08,340.856,0
2026-07-09 18:54:46,0.029,12.587,27.08,340.856,0
2026-07-09 18:54:46,0.032,12.587,26.33,331.416,0
2026-07-09 18:54:46,0.032,12.587,26.33,331.416,0
2026-07-09 18:54:46,0.043,12.587,26.33,331.416,0
2026-07-09 18:54:46,0.043,12.587,26.33,331.416,0
2026-07-09 18:54:46,0.043,12.587,26.33,331.416,0
2026-07-09 18:54:47,0.037,12.587,26.42,332.549,0
2026-07-09 18:54:47,0.037,12.587,26.42,332.549,0
2026-07-09 18:54:47,0.034,12.587,25.84,325.248,0
2026-07-09 18:54:47,0.034,12.587,25.84,325.248,0
2026-07-09 18:54:47,0.034,12.587,25.84,325.248,0
2026-07-09 18:54:47,0.033,12.587,26.08,328.269,0
2026-07-09 18:54:47,0.033,12.587,26.08,328.269,0
2026-07-09 18:54:47,0.032,12.587,30.49,383.778,0
2026-07-09 18:54:47,0.032,12.587,30.49,383.778,0
2026-07-09 18:54:47,0.032,12.587,30.49,383.778,0
2026-07-09 18:54:48,0.04,12.587,26.0,327.262,0
2026-07-09 18:54:48,0.04,12.587,26.0,327.262,0
2026-07-09 18:54:48,0.055,12.587,26.83,337.709,0
2026-07-09 18:54:48,0.055,12.587,26.83,337.709,0
2026-07-09 18:54:48,0.055,12.587,26.83,337.709,0
2026-07-09 18:54:48,0.055,12.587,26.17,329.402,0
2026-07-09 18:54:48,0.055,12.587,26.17,329.402,0
2026-07-09 18:54:48,0.04,12.587,27.08,340.856,0
2026-07-09 18:54:48,0.04,12.587,27.08,340.856,0
2026-07-09 18:54:48,0.04,12.587,27.08,340.856,0
2026-07-09 18:54:49,0.037,12.587,26.17,329.402,0
2026-07-09 18:54:49,0.037,12.587,26.17,329.402,0
2026-07-09 18:54:49,0.037,12.587,26.42,332.549,0
2026-07-09 18:54:49,0.037,12.587,26.42,332.549,0
2026-07-09 18:54:49,0.037,12.587,26.42,332.549,0
2026-07-09 18:54:49,0.028,12.587,25.75,324.115,0
2026-07-09 18:54:49,0.028,12.587,25.75,324.115,0
2026-07-09 18:54:49,0.026,12.587,31.9,401.525,0
2026-07-09 18:54:49,0.026,12.587,31.9,401.525,0
2026-07-09 18:54:49,0.026,12.587,31.9,401.525,0
2026-07-09 18:54:50,0.028,12.587,25.75,324.115,0
2026-07-09 18:54:50,0.028,12.587,25.75,324.115,0
2026-07-09 18:54:50,0.033,12.587,26.67,335.695,0
2026-07-09 18:54:50,0.033,12.587,26.67,335.695,0
2026-07-09 18:54:50,0.042,12.587,26.17,329.402,0
