Timestamp,Velocity(m/s),Voltage(V),Current(A),Power(W),TargetSpeed(m/s)
2026-07-08 22:59:57,0.191,12.587,26.17,329.402,0
2026-07-08 22:59:57,0.255,12.587,26.58,334.562,0
2026-07-08 22:59:57,0.255,12.587,26.58,334.562,0
2026-07-08 22:59:57,0.255,12.587,26.58,334.562,0
2026-07-08 22:59:58,0.196,12.587,31.32,394.225,0
2026-07-08 22:59:58,0.196,12.587,31.32,394.225,0
2026-07-08 22:59:58,0.105,12.587,28.49,358.604,0
2026-07-08 22:59:58,0.105,12.587,28.49,358.604,0
2026-07-08 22:59:58,0.105,12.587,28.49,358.604,0
2026-07-08 22:59:58,0.255,12.587,29.41,370.184,0
2026-07-08 22:59:58,0.255,12.587,29.41,370.184,0
2026-07-08 22:59:58,0.322,12.587,28.25,355.583,0
2026-07-08 22:59:58,0.322,12.587,28.25,355.583,0
2026-07-08 22:59:58,0.322,12.587,28.25,355.583,0
2026-07-08 22:59:59,0.296,12.587,28.16,354.45,0
2026-07-08 22:59:59,0.296,12.587,28.16,354.45,0
2026-07-08 22:59:59,0.221,12.587,31.07,391.078,0
2026-07-08 22:59:59,0.221,12.587,31.07,391.078,0
2026-07-08 22:59:59,0.221,12.587,31.07,391.078,0
2026-07-08 22:59:59,0.136,12.587,25.0,314.675,0
2026-07-08 22:59:59,0.136,12.587,25.0,314.675,0
2026-07-08 22:59:59,0.131,12.587,27.25,342.996,0
2026-07-08 22:59:59,0.131,12.587,27.25,342.996,0
2026-07-08 22:59:59,0.131,12.587,27.25,342.996,0
2026-07-08 23:00:00,0.255,12.587,34.73,437.147,0
2026-07-08 23:00:00,0.255,12.587,34.73,437.147,0
2026-07-08 23:00:00,0.388,12.587,27.0,339.849,0
2026-07-08 23:00:00,0.388,12.587,27.0,339.849,0
2026-07-08 23:00:00,0.439,12.587,25.67,323.108,0
2026-07-08 23:00:00,0.439,12.587,25.67,323.108,0
2026-07-08 23:00:00,0.439,12.587,25.67,323.108,0
2026-07-08 23:00:00,0.356,12.587,27.75,349.289,0
2026-07-08 23:00:00,0.356,12.587,27.75,349.289,0
2026-07-08 23:00:00,0.145,12.587,33.06,416.126,0
2026-07-08 23:00:01,0.145,12.587,33.06,416.126,0
2026-07-08 23:00:01,0.145,12.587,33.06,416.126,0
2026-07-08 23:00:01,0.125,12.587,28.16,354.45,0
2026-07-08 23:00:01,0.125,12.587,28.16,354.45,0
2026-07-08 23:00:01,0.295,12.587,27.17,341.989,0
2026-07-08 23:00:01,0.295,12.587,27.17,341.989,0
2026-07-08 23:00:01,0.295,12.587,27.17,341.989,0
2026-07-08 23:00:01,0.383,12.587,28.08,353.443,0
2026-07-08 23:00:01,0.383,12.587,28.08,353.443,0
2026-07-08 23:00:01,0.407,12.587,27.83,350.296,0
2026-07-08 23:00:02,0.407,12.587,27.83,350.296,0
2026-07-08 23:00:02,0.407,12.587,27.83,350.296,0
2026-07-08 23:00:02,0.369,12.587,33.56,422.42,0
2026-07-08 23:00:02,0.369,12.587,33.56,422.42,0
2026-07-08 23:00:02,0.27,12.587,27.58,347.149,0
2026-07-08 23:00:02,0.27,12.587,27.58,347.149,0
2026-07-08 23:00:02,0.27,12.587,27.58,347.149,0
2026-07-08 23:00:02,0.167,12.587,32.32,406.812,0
2026-07-08 23:00:02,0.167,12.587,32.32,406.812,0
2026-07-08 23:00:02,0.079,12.587,25.75,324.115,0
2026-07-08 23:00:03,0.079,12.587,25.75,324.115,0
2026-07-08 23:00:03,0.079,12.587,25.75,324.115,0
2026-07-08 23:00:03,0.06,12.587,25.25,317.822,0
2026-07-08 23:00:03,0.06,12.587,25.25,317.822,0
2026-07-08 23:00:03,0.102,12.587,27.33,344.003,0
2026-07-08 23:00:03,0.102,12.587,27.33,344.003,0
2026-07-08 23:00:03,0.102,12.587,27.33,344.003,0
2026-07-08 23:00:03,0.138,12.587,27.08,340.856,0
2026-07-08 23:00:03,0.138,12.587,27.08,340.856,0
