Timestamp,Vz(m/s),Voltage(V),Current(A),Power(W),TargetVz(m/s),CurrentAlt(m)
2026-06-24 15:15:48,0.039,12.587,28.08,353.443,-0.5,110.0
2026-06-24 15:15:48,0.035,12.587,27.83,350.296,-0.5,109.94
2026-06-24 15:15:48,0.035,12.587,27.83,350.296,-0.5,109.94
2026-06-24 15:15:48,0.035,12.587,27.83,350.296,-0.5,109.94
2026-06-24 15:15:48,-0.115,12.587,25.75,324.115,-0.5,109.93
2026-06-24 15:15:48,-0.115,12.587,25.75,324.115,-0.5,109.93
2026-06-24 15:15:48,-0.348,12.587,25.5,320.969,-0.5,109.86
2026-06-24 15:15:49,-0.348,12.587,25.5,320.969,-0.5,109.86
2026-06-24 15:15:49,-0.348,12.587,25.5,320.969,-0.5,109.86
2026-06-24 15:15:49,-0.482,12.587,26.5,333.556,-0.5,109.75
2026-06-24 15:15:49,-0.482,12.587,26.5,333.556,-0.5,109.75
2026-06-24 15:15:49,-0.53,12.587,27.41,345.01,-0.5,109.62
2026-06-24 15:15:49,-0.53,12.587,27.41,345.01,-0.5,109.62
2026-06-24 15:15:49,-0.53,12.587,27.41,345.01,-0.5,109.62
2026-06-24 15:15:49,-0.533,12.587,27.75,349.289,-0.5,109.49
2026-06-24 15:15:49,-0.533,12.587,27.75,349.289,-0.5,109.49
2026-06-24 15:15:49,-0.517,12.587,27.91,351.303,-0.5,109.35
2026-06-24 15:15:50,-0.517,12.587,27.91,351.303,-0.5,109.35
2026-06-24 15:15:50,-0.517,12.587,27.91,351.303,-0.5,109.35
2026-06-24 15:15:50,-0.499,12.587,27.91,351.303,-0.5,109.22
2026-06-24 15:15:50,-0.499,12.587,27.91,351.303,-0.5,109.22
2026-06-24 15:15:50,-0.485,12.587,27.91,351.303,-0.5,109.09
2026-06-24 15:15:50,-0.485,12.587,27.91,351.303,-0.5,109.09
2026-06-24 15:15:50,-0.485,12.587,27.91,351.303,-0.5,109.09
2026-06-24 15:15:50,-0.476,12.587,27.83,350.296,-0.5,108.96
2026-06-24 15:15:50,-0.476,12.587,27.83,350.296,-0.5,108.96
2026-06-24 15:15:50,-0.473,12.587,27.83,350.296,-0.5,108.84
2026-06-24 15:15:51,-0.473,12.587,27.83,350.296,-0.5,108.84
2026-06-24 15:15:51,-0.473,12.587,27.83,350.296,-0.5,108.84
2026-06-24 15:15:51,-0.472,12.587,27.75,349.289,-0.5,108.72
2026-06-24 15:15:51,-0.472,12.587,27.75,349.289,-0.5,108.72
2026-06-24 15:15:51,-0.472,12.587,27.75,349.289,-0.5,108.59
2026-06-24 15:15:51,-0.472,12.587,27.75,349.289,-0.5,108.59
2026-06-24 15:15:51,-0.472,12.587,27.75,349.289,-0.5,108.59
2026-06-24 15:15:51,-0.473,12.587,27.75,349.289,-0.5,108.47
2026-06-24 15:15:51,-0.473,12.587,27.75,349.289,-0.5,108.47
2026-06-24 15:15:51,-0.474,12.587,27.75,349.289,-0.5,108.34
2026-06-24 15:15:52,-0.474,12.587,27.75,349.289,-0.5,108.34
2026-06-24 15:15:52,-0.474,12.587,27.75,349.289,-0.5,108.34
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,108.22
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,108.22
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,108.09
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,108.09
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,108.09
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,107.97
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,107.97
2026-06-24 15:15:52,-0.475,12.587,27.75,349.289,-0.5,107.84
2026-06-24 15:15:53,-0.475,12.587,27.75,349.289,-0.5,107.84
2026-06-24 15:15:53,-0.475,12.587,27.75,349.289,-0.5,107.84
2026-06-24 15:15:53,-0.475,12.587,27.83,350.296,-0.5,107.72
2026-06-24 15:15:53,-0.475,12.587,27.83,350.296,-0.5,107.72
2026-06-24 15:15:53,-0.474,12.587,27.75,349.289,-0.5,107.59
2026-06-24 15:15:53,-0.474,12.587,27.75,349.289,-0.5,107.59
2026-06-24 15:15:53,-0.474,12.587,27.75,349.289,-0.5,107.59
